PUBLICATION_DATE,TAXA_ID,TARGET_TAXON,NON_TARGET,PHYLUM,CLASS,ORDER,FAMILY,SUBFAMILY,TRIBE,GENUS,FFG,HABIT,PTV,COLLECTED
4/26/2021,1,ANCYLIDAE,,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,ANCYLIDAE,,,,SC,CB,5.8,FALSE
4/26/2021,2,ARACHNIDA,,ARTHROPODA,ARACHNIDA,,,,,,PR,,8,FALSE
4/26/2021,3,ARGIA,,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,,,ARGIA,PR,CB,7.1,FALSE
4/26/2021,4,BEZZIA/PALPOMYIA,,ARTHROPODA,INSECTA,DIPTERA,CERATOPOGONIDAE,CERATOPOGONINAE,,BEZZIA/PALPOMYIA,"PR,CG","SP,BU,PK",6,FALSE
4/26/2021,5,CAENIS,,ARTHROPODA,INSECTA,EPHEMEROPTERA,CAENIDAE,,,CAENIS,CG,SP,6,FALSE
4/26/2021,6,CERACLEA,,ARTHROPODA,INSECTA,TRICHOPTERA,LEPTOCERIDAE,LEPTOCERINAE,ATHRIPSODINI,CERACLEA,CG,CN,3.6,FALSE
4/26/2021,7,CHIRONOMINI,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,,CG,,6,FALSE
4/26/2021,8,CLADOTANYTARSUS,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,TANYTARSINI,CLADOTANYTARSUS,"CF,CG",CB,6,FALSE
4/26/2021,9,CORBICULA,,MOLLUSCA,BIVALVIA,VENEROIDA,CORBICULIDAE,,,CORBICULA,CF,BU,5.5,FALSE
4/26/2021,10,CRICOTOPUS,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,ORTHOCLADIINI/METRIOCNEMINI,CRICOTOPUS,"SH, CG",,7,FALSE
4/26/2021,11,CRYPTOCHIRONOMUS,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,CRYPTOCHIRONOMUS,PR,SP,7,FALSE
4/26/2021,12,DASYHELEA,,ARTHROPODA,INSECTA,DIPTERA,CERATOPOGONIDAE,DASYHELEINAE,,DASYHELEA,CG,SP,5.7,FALSE
4/26/2021,13,DICROTENDIPES,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,DICROTENDIPES,CG,BU,6.7,FALSE
4/26/2021,14,ENDOCHIRONOMUS,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,ENDOCHIRONOMUS,SH,CN,8,FALSE
4/26/2021,15,ERPOBDELLA,,ANNELIDA,CLITELLATA,ARHYNCHOBDELLIDA,ERPOBDELLIDAE,ERPOBDELLINAE,,ERPOBDELLA,PR,SP,8,FALSE
4/26/2021,16,GLYPTOTENDIPES,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,GLYPTOTENDIPES,"CF,SH",BU,9.5,FALSE
4/26/2021,17,HELOBDELLA,,ANNELIDA,CLITELLATA,RHYNCHOBDELLIDA,GLOSSIPHONIIDAE,HAEMENTERIINAE,,HELOBDELLA,PR,SP,8.4,FALSE
4/26/2021,18,HYALELLA,,ARTHROPODA,MALACOSTRACA,AMPHIPODA,HYALELLIDAE,,,HYALELLA,"CG,SH",SP,7.5,FALSE
4/26/2021,19,HYDROPTILA,,ARTHROPODA,INSECTA,TRICHOPTERA,HYDROPTILIDAE,HYDROPTILINAE,HYDROPTILINI,HYDROPTILA,"PI,PR,SC",CN,2.6,FALSE
4/26/2021,20,HYDROPTILIDAE,,ARTHROPODA,INSECTA,TRICHOPTERA,HYDROPTILIDAE,,,,PI,CB,3.8,FALSE
4/26/2021,21,LEBERTIA,,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,LEBERTIIDAE,,,LEBERTIA,PR,CB,8,FALSE
4/26/2021,22,LIMNODRILUS,,ANNELIDA,CLITELLATA,HAPLOTAXIDA,TUBIFICIDAE,,,LIMNODRILUS,CG,CN,9,FALSE
4/26/2021,23,LIMONIA,,ARTHROPODA,INSECTA,DIPTERA,TIPULIDAE,LIMONIINAE,,LIMONIA,SH,BU,4,FALSE
4/26/2021,24,MICROMENETUS,,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,PLANORBIDAE,,,MICROMENETUS,,,,FALSE
4/26/2021,25,NAIS,,ANNELIDA,CLITELLATA,HAPLOTAXIDA,NAIDIDAE,,,NAIS,CG,BU,8.6,FALSE
4/26/2021,27,ORTHOCLADIUS,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,,ORTHOCLADIUS,"SH, CG",,7,FALSE
4/26/2021,28,ORTHOTRICHIA,,ARTHROPODA,INSECTA,TRICHOPTERA,HYDROPTILIDAE,HYDROPTILINAE,ORTHOTRICHIINI,ORTHOTRICHIA,"PI,PR,SC",CN,4,FALSE
4/26/2021,29,PARATANYTARSUS,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,TANYTARSINI,PARATANYTARSUS,CG,CN,7,FALSE
