ID,UID,SITE_ID,DATE_COL,LAT_DD,LON_DD,VISIT_NO,TAXA_ID,TARGET_TAXON,TOTAL_300,IS_DISTINCT_300,PHYLUM,CLASS,ORDER,TRIBE,FAMILY,SUBFAMILY,GENUS,FFG,HABIT,PTV,PUBLICATION_DATE
42,2007739,NLA06608-0326,8/16/2007,41.35719487,-72.04012641,1,40,ABLABESMYIA,12,1,ARTHROPODA,INSECTA,DIPTERA,PENTANEURINI,CHIRONOMIDAE,TANYPODINAE,ABLABESMYIA,PR,SP,5.6,8/9/2016
77,2007836,NLA06608-0498,7/31/2007,41.95095517,-71.95133091,1,40,ABLABESMYIA,1,1,ARTHROPODA,INSECTA,DIPTERA,PENTANEURINI,CHIRONOMIDAE,TANYPODINAE,ABLABESMYIA,PR,SP,5.6,8/9/2016
158,2007878,NLA06608-0582,7/19/2007,41.80079367,-72.52468392,1,40,ABLABESMYIA,21,1,ARTHROPODA,INSECTA,DIPTERA,PENTANEURINI,CHIRONOMIDAE,TANYPODINAE,ABLABESMYIA,PR,SP,5.6,8/9/2016
198,2007996,NLA06608-0805,8/22/2007,41.89706027,-73.4471959,1,40,ABLABESMYIA,9,1,ARTHROPODA,INSECTA,DIPTERA,PENTANEURINI,CHIRONOMIDAE,TANYPODINAE,ABLABESMYIA,PR,SP,5.6,8/9/2016
284,2008078,NLA06608-0946,8/14/2007,41.83996337,-72.19612696,1,40,ABLABESMYIA,8,1,ARTHROPODA,INSECTA,DIPTERA,PENTANEURINI,CHIRONOMIDAE,TANYPODINAE,ABLABESMYIA,PR,SP,5.6,8/9/2016
297,2008112,NLA06608-1010,8/9/2007,41.44985958,-73.28915784,1,40,ABLABESMYIA,2,1,ARTHROPODA,INSECTA,DIPTERA,PENTANEURINI,CHIRONOMIDAE,TANYPODINAE,ABLABESMYIA,PR,SP,5.6,8/9/2016
342,2007477,NLA06608-0006,7/17/2007,41.68314624,-73.1465177,1,40,ABLABESMYIA,13,1,ARTHROPODA,INSECTA,DIPTERA,PENTANEURINI,CHIRONOMIDAE,TANYPODINAE,ABLABESMYIA,PR,SP,5.6,8/9/2016
409,2007478,NLA06608-0006,8/30/2007,41.68314624,-73.1465177,2,40,ABLABESMYIA,26,1,ARTHROPODA,INSECTA,DIPTERA,PENTANEURINI,CHIRONOMIDAE,TANYPODINAE,ABLABESMYIA,PR,SP,5.6,8/9/2016
441,2007516,NLA06608-0037,7/13/2007,41.69699293,-73.36398551,1,40,ABLABESMYIA,12,1,ARTHROPODA,INSECTA,DIPTERA,PENTANEURINI,CHIRONOMIDAE,TANYPODINAE,ABLABESMYIA,PR,SP,5.6,8/9/2016
542,2007517,NLA06608-0037,9/5/2007,41.69699293,-73.36398551,2,40,ABLABESMYIA,8,1,ARTHROPODA,INSECTA,DIPTERA,PENTANEURINI,CHIRONOMIDAE,TANYPODINAE,ABLABESMYIA,PR,SP,5.6,8/9/2016
558,2007588,NLA06608-0101,8/21/2007,42.02167966,-73.48227989,1,40,ABLABESMYIA,1,1,ARTHROPODA,INSECTA,DIPTERA,PENTANEURINI,CHIRONOMIDAE,TANYPODINAE,ABLABESMYIA,PR,SP,5.6,8/9/2016
588,2007614,NLA06608-0134,7/24/2007,41.88000298,-73.04056323,1,40,ABLABESMYIA,8,1,ARTHROPODA,INSECTA,DIPTERA,PENTANEURINI,CHIRONOMIDAE,TANYPODINAE,ABLABESMYIA,PR,SP,5.6,8/9/2016
